sample,penicillin,gff
7553-5-92,1,data/tutorial_core/gff/7553-5-92.gff3
7553-5-93,0,data/tutorial_core/gff/7553-5-93.gff3
7553-5-94,1,data/tutorial_core/gff/7553-5-94.gff3
7553-5-95,0,data/tutorial_core/gff/7553-5-95.gff3
7553-5-96,0,data/tutorial_core/gff/7553-5-96.gff3
7553-6-1,0,data/tutorial_core/gff/7553-6-1.gff3
7553-6-2,1,data/tutorial_core/gff/7553-6-2.gff3
7553-6-3,1,data/tutorial_core/gff/7553-6-3.gff3
7553-6-4,1,data/tutorial_core/gff/7553-6-4.gff3
7553-6-5,0,data/tutorial_core/gff/7553-6-5.gff3
7553-6-6,0,data/tutorial_core/gff/7553-6-6.gff3
7553-6-7,1,data/tutorial_core/gff/7553-6-7.gff3
7553-6-8,1,data/tutorial_core/gff/7553-6-8.gff3
7622-2-10,0,data/tutorial_core/gff/7622-2-10.gff3
7622-2-11,1,data/tutorial_core/gff/7622-2-11.gff3
7622-2-12,1,data/tutorial_core/gff/7622-2-12.gff3
7622-2-13,0,data/tutorial_core/gff/7622-2-13.gff3
7622-2-14,0,data/tutorial_core/gff/7622-2-14.gff3
7622-2-15,0,data/tutorial_core/gff/7622-2-15.gff3
7622-2-16,0,data/tutorial_core/gff/7622-2-16.gff3
7622-2-17,0,data/tutorial_core/gff/7622-2-17.gff3
7622-2-18,1,data/tutorial_core/gff/7622-2-18.gff3
